accession	phylum	class	species
GB_GCA_938042195	Thermoproteota	Bathyarchaeia	CALIRQ01 sp938042195
GB_GCA_027080775	Thermoproteota	Thermoprotei_A	Calypsonella navitae
GB_GCA_945861715	Nanobdellota	Nanobdellia	CAMAVK01 sp945861715
GB_GCA_963582685	Thermoplasmatota	Poseidoniia	CAUZSM01 sp963582685
GB_GCA_964012725	Nanobdellota	Nanobdellia	CAXGTL01 sp964012725
GB_GCA_031852275	Halobacteriota	Halobacteria	CCL63 sp031852275
GB_GCA_958295735	Thermoproteota	Nitrososphaeria	Cenarchaeum sp958295735
GB_GCA_000200715	Thermoproteota	Nitrososphaeria	Cenarchaeum symbiosum
GB_GCA_002779595	Nanobdellota	Nanobdellia	CG07-land sp002779595
GB_GCA_016931175	Nanobdellota	Nanobdellia	CG07-land sp016931175
GB_GCA_002762865	Nanobdellota	Nanobdellia	CG1-02-33-12 sp002762865
GB_GCA_017609385	Nanobdellota	Nanobdellia	CG1-02-33-12 sp017609385
GB_GCA_018897235	Nanobdellota	Nanobdellia	CG1-02-33-12 sp018819345
GB_GCA_038999265	Aenigmatarchaeota	Aenigmatarchaeia	CG10238-14 sp038999265
GB_GCA_002788615	Nanobdellota	Nanobdellia	CG1-02-39-14 sp001872315
GB_GCA_002763335	Nanobdellota	Nanobdellia	CG1-02-47-18 sp002763335
GB_GCA_001871475	Micrarchaeota	Micrarchaeia	CG1-02-47-40 sp001871475
GB_GCA_964004395	Thermoplasmatota	Poseidoniia	CG-Epi1 sp002506485
GB_GCA_029250505	Thermoplasmatota	Poseidoniia	CG-Epi1 sp014240055
GB_GCA_950073365	Thermoplasmatota	Poseidoniia	CG-Epi1 sp015658585
GB_GCA_029936395	Thermoplasmatota	Poseidoniia	CG-Epi1 sp029936395
GB_GCA_029941645	Thermoplasmatota	Poseidoniia	CG-Epi1 sp029941645
GB_GCA_963580065	Thermoplasmatota	Poseidoniia	CG-Epi1 sp963577905
GB_GCA_018814355	Thermoplasmatota	Thermoplasmata	COMBO-56-21 sp018814355
GB_GCA_020725925	Thermoplasmatota	Thermoplasmata	COMBO-56-21 sp020725925
